
DECIMAL       HEXADECIMAL     DESCRIPTION
--------------------------------------------------------------------------------
2899          0xB53           MIPS instructions, function epilogue
4272          0x10B0          MIPS instructions, function epilogue
19591         0x4C87          MIPS instructions, function epilogue
36381         0x8E1D          ARMEB instructions, function epilogue
69621         0x10FF5         ARM instructions, function epilogue
74142         0x1219E         ARMEB instructions, function prologue
79774         0x1379E         ARM instructions, function prologue
80473         0x13A59         ARM instructions, function prologue
99106         0x18322         MIPS16e instructions, function epilogue
131571        0x201F3         MIPS16e instructions, function epilogue
146300        0x23B7C         MIPSEL16e instructions, function epilogue
152852        0x25514         MIPSEL16e instructions, function epilogue
154495        0x25B7F         MIPS instructions, function epilogue
169350        0x29586         MIPS16e instructions, function epilogue
172994        0x2A3C2         MIPSEL16e instructions, function epilogue
207545        0x32AB9         ARMEB instructions, function prologue
215951        0x34B8F         MIPS16e instructions, function epilogue
245344        0x3BE60         MIPS16e instructions, function epilogue
246251        0x3C1EB         ARM instructions, function epilogue
257114        0x3EC5A         MIPS instructions, function epilogue
261729        0x3FE61         ARMEB instructions, function epilogue
266461        0x410DD         MIPSEL16e instructions, function epilogue
269219        0x41BA3         ARMEB instructions, function prologue
270183        0x41F67         ARMEB instructions, function epilogue
289886        0x46C5E         MIPS16e instructions, function epilogue
293493        0x47A75         MIPS16e instructions, function epilogue
303302        0x4A0C6         ARM instructions, function epilogue
305675        0x4AA0B         MIPS instructions, function epilogue
327279        0x4FE6F         ARM instructions, function epilogue
350489        0x55919         ARM instructions, function epilogue
379994        0x5CC5A         MIPS16e instructions, function epilogue
385747        0x5E2D3         MIPS instructions, function epilogue
393804        0x6024C         MIPS instructions, function epilogue
398280        0x613C8         MIPS instructions, function epilogue
400752        0x61D70         ARMEB instructions, function prologue
411114        0x645EA         MIPS16e instructions, function epilogue
423638        0x676D6         MIPSEL16e instructions, function epilogue
424805        0x67B65         MIPS instructions, function epilogue
431570        0x695D2         ARMEB instructions, function prologue
